Property location,price,bedrooms,yr_built,sqft_living,sqft_lot,floors,waterfront,view,Condition,grade,yr_renovated
Arizona,221900,3,2001,1180,5650,1,0,0,1,7,0
Arizona,538000,3,2000,2570,7242,2,0,0,1,7,2016
Arizona,180000,2,2018,770,10000,1,0,0,1,6,0
Arizona,604000,4,2006,1960,5000,1,0,0,0,7,2020
Arizona,510000,3,2021,1680,8080,1,0,0,1,8,0
Arizona,1.23E+06,4,2001,5420,101930,1,0,0,1,11,0
Arizona,257500,3,2018,1715,6819,2,0,0,1,7,0
Arizona,291850,3,2004,1060,9711,1,0,0,1,7,0
Arizona,229500,3,2002,1780,7470,1,0,0,1,7,0
Arizona,323000,3,2003,1890,6560,2,0,0,1,7,0
Arizona,662500,3,2006,3560,9796,1,0,0,0,8,2020
Arizona,468000,2,2002,1160,6000,1,0,0,1,7,0
Arizona,310000,3,2021,1430,19901,1.5,0,0,1,7,0
Arizona,400000,3,2010,1370,9680,1,0,0,1,7,0
Arizona,530000,5,2002,1810,4850,1.5,0,0,1,7,0
Arizona,650000,4,2011,2950,5000,2,0,3,1,9,0
Arizona,395000,3,2018,1890,14040,2,0,0,1,7,0
Arizona,485000,4,2010,1600,4300,1.5,0,0,1,7,0
Arizona,189000,2,2012,1200,9850,1,0,0,1,7,0
Arizona,230000,3,2007,1250,9774,1,0,0,0,7,2020
Arizona,385000,4,2007,1620,4980,1,0,0,0,7,2020
Arizona,2.00E+06,3,2007,3050,44867,1,0,4,0,9,2020
Arizona,285000,5,2018,2270,6300,2,0,0,1,8,0
Arizona,252700,2,2016,1070,9643,1,0,0,1,7,0
Arizona,329000,3,2016,2450,6500,2,0,0,1,8,0
Arizona,233000,3,2001,1710,4697,1.5,0,0,1,6,0
Arizona,937000,3,2009,2450,2691,2,0,0,1,8,0
Arizona,667000,3,2007,1400,1581,1.5,0,0,0,8,2020
Arizona,438000,3,2008,1520,6380,1,0,0,1,7,0
Arizona,719000,4,2005,2570,7173,2,0,0,1,8,0
Arizona,580500,3,2003,2320,3980,2,0,0,1,8,0
Arizona,280000,2,2005,1190,1265,3,0,0,1,7,0
Arizona,687500,4,2017,2330,5000,1.5,0,0,1,7,0
Arizona,535000,3,2017,1090,3000,1.5,0,0,1,8,0
Arizona,322500,4,2012,2060,6659,1,0,0,1,7,0
Arizona,696000,3,2017,2300,3060,1.5,0,0,1,8,0
Arizona,550000,4,2018,1660,34848,1,0,0,1,5,0
Arizona,640000,4,2005,2360,6000,2,0,0,1,8,0
Arizona,240000,4,2007,1220,8075,1,0,0,0,7,2020
Arizona,605000,4,2019,2620,7553,2,0,0,1,8,0
Arizona,625000,4,2000,2570,5520,2,0,0,1,9,2016
Arizona,775000,4,2016,4220,24186,1,0,0,1,8,0
Hawaii,861990,5,2014,3595,5639,2,0,0,1,9,0
Arizona,685000,3,2016,1570,2280,2,0,0,1,7,0
Arizona,309000,3,2002,1280,9656,1,0,0,1,6,0
Arizona,488000,3,2003,3160,13603,2,0,0,0,8,2019
Arizona,210490,3,2006,990,8528,1,0,0,0,6,2020
Arizona,785000,4,2012,2290,13416,2,0,0,1,9,0
Arizona,450000,3,2001,1250,5963,1,0,0,1,7,0
Arizona,1.35E+06,3,2001,2753,65005,1,1,2,1,9,0
Arizona,228000,3,2001,1190,9199,1,0,0,1,7,0
Arizona,345000,5,2006,3150,9134,1,0,0,0,8,2020
Arizona,600000,3,2000,1410,4080,1,0,0,1,7,2016
Arizona,585000,2,2012,1980,8550,1,0,0,1,7,0
Arizona,920000,5,2021,2730,6000,1.5,0,0,1,8,0
Arizona,885000,4,2018,2830,5000,2,0,0,1,9,0
Arizona,292500,4,2008,2250,4495,2,0,0,1,7,0
Arizona,301000,3,2003,2420,4750,2,0,0,0,8,2019
Arizona,951000,5,2007,3250,14342,2,0,4,0,8,2020
Arizona,430000,4,2018,1850,9976,2,0,0,1,8,0
Arizona,650000,3,2002,2150,21235,1,0,3,1,8,0
Arizona,289000,3,2001,1260,8400,1,0,0,1,7,0
Arizona,505000,3,2008,2519,8690,2,0,0,1,8,0
Hawaii,549000,3,2014,1540,1044,3,0,0,1,8,0
Arizona,425000,3,2011,1660,6000,1,0,0,1,7,0
Arizona,317625,3,2016,2770,3809,1.5,0,0,1,7,0
Arizona,975000,4,2017,2720,11049,2,0,0,1,10,0
Arizona,287000,4,2005,2240,4648,2,0,0,1,7,0
Arizona,204000,3,2007,1000,12070,1,0,0,0,7,2020
Arizona,1.33E+06,5,2006,3200,20158,1,0,0,0,8,2020
Arizona,1.04E+06,5,2008,4770,50094,1,0,0,1,11,0
Arizona,325000,3,2008,1260,5612,1,0,0,1,7,0
Arizona,571000,4,2010,2750,7807,1.5,0,0,1,7,0
Arizona,360000,4,2005,2380,5000,2,0,0,1,8,0
Arizona,349000,3,2006,1790,50529,1,0,0,0,7,2020
Arizona,832500,4,2017,3430,35102,2,0,0,1,10,0
Arizona,380000,4,2002,1760,7300,1,0,0,1,7,0
Arizona,480000,3,2001,1040,5060,1,0,0,1,7,0
Arizona,410000,3,2002,1410,5060,1,0,0,1,7,0
Arizona,720000,4,2002,3450,39683,2,0,0,1,10,0
Arizona,390000,3,2003,2350,5100,2,0,0,0,8,2019
Arizona,360000,4,2018,1900,5889,2,0,0,1,7,0
Arizona,355000,2,2008,2020,6720,1,0,0,1,7,0
Arizona,356000,3,2005,1680,8712,1,0,0,1,8,0
Arizona,315000,3,2000,960,6634,1,0,0,1,6,2016
Arizona,940000,3,2016,2140,3600,2,0,0,1,9,0
Arizona,305000,5,2003,2660,8400,1.5,0,0,0,7,2019
Arizona,461000,3,2006,2770,6278,2,0,0,0,9,2020
Arizona,215000,2,2011,1610,2040,2,0,0,1,7,0
Arizona,335000,2,2006,1030,1066,2,0,0,0,7,2020
Arizona,243500,4,2017,1980,7403,2,0,0,1,7,0
Arizona,1.10E+06,5,2001,3520,6353,2,0,0,1,10,0
Arizona,153000,3,2004,1200,10500,1,0,0,1,7,0
Arizona,430000,3,2020,1580,5000,1,0,0,1,8,0
Arizona,700000,3,2020,1580,5000,1,0,0,1,8,0
Arizona,905000,4,2006,3300,10250,1,0,0,0,7,2020
Arizona,247500,3,2006,1960,15681,1,0,0,0,7,2020
Arizona,199000,4,2009,1160,6400,1,0,0,0,7,2020
Arizona,314000,3,2011,1810,41800,1,0,0,1,7,0
Arizona,437500,3,2018,2320,36847,2,0,2,1,9,0
Arizona,850830,3,2007,2070,13241,1.5,0,0,0,9,2020
Arizona,555000,3,2017,1980,3478,1.5,0,0,1,7,0
Arizona,699950,3,2016,2190,107593,2,0,0,1,8,0
Arizona,1.09E+06,3,2000,2920,8113,2,0,0,1,8,2016
Arizona,290000,3,2001,1210,33919,1,0,0,1,7,0
